               time,               Date,           Rainfall,      Inifiltration,         Runoff@end,       WaterStorage,      LeftDischarge,      RightDischarge
  38443.0000  04/01/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38444.0000  04/02/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38445.0000  04/03/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38446.0000  04/04/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38447.0000  04/05/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38448.0000  04/06/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38449.0000  04/07/2005        9.9886        8.5529        0.0000        0.0000        0.0000        0.0000
  38450.0000  04/08/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38451.0000  04/09/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38452.0000  04/10/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38453.0000  04/11/2005       19.8172       18.2896        0.0000        0.0000        0.0000        0.0000
  38454.0000  04/12/2005      100.8186       99.9182        0.0000        0.0000        0.0000        0.0000
  38455.0000  04/13/2005       51.4350       48.6243        0.0000        0.0000        0.0000        0.0000
  38456.0000  04/14/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38457.0000  04/15/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38458.0000  04/16/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38459.0000  04/17/2005        0.9525        0.6098        0.0000        0.0000        0.0000        0.0000
  38460.0000  04/18/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38461.0000  04/19/2005       19.5825       17.5301        0.0000        0.0000        0.0000        0.0000
  38462.0000  04/20/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38463.0000  04/21/2005      118.4698      101.1348       22.2508        0.0000        0.0000       22.2508
  38464.0000  04/22/2005       11.4300       11.0032        0.0000        0.0000        0.0000        0.0000
  38465.0000  04/23/2005       17.6213       17.5186        0.0000        0.0000        0.0000        0.0000
  38466.0000  04/24/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38467.0000  04/25/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38468.0000  04/26/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38469.0000  04/27/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38470.0000  04/28/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38471.0000  04/29/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38472.0000  04/30/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38473.0000  05/01/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38474.0000  05/02/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38475.0000  05/03/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38476.0000  05/04/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38477.0000  05/05/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38478.0000  05/06/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38479.0000  05/07/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38480.0000  05/08/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38481.0000  05/09/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38482.0000  05/10/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38483.0000  05/11/2005       73.0201       72.3526        0.0000        0.0000        0.0000        0.0000
  38484.0000  05/12/2005       88.6462       87.9050        0.0000        0.0000        0.0000        0.0000
  38485.0000  05/13/2005      101.0254       92.2863       11.4086        0.0000        0.0000       11.4086
  38486.0000  05/14/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38487.0000  05/15/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38488.0000  05/16/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38489.0000  05/17/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38490.0000  05/18/2005        0.9906        0.9164        0.0000        0.0000        0.0000        0.0000
  38491.0000  05/19/2005        3.9971        3.6580        0.0000        0.0000        0.0000        0.0000
  38492.0000  05/20/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38493.0000  05/21/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38494.0000  05/22/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38495.0000  05/23/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38496.0000  05/24/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38497.0000  05/25/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38498.0000  05/26/2005       28.7535       27.2871        0.0000        0.0000        0.0000        0.0000
  38499.0000  05/27/2005        0.9525        0.4688        0.0000        0.0000        0.0000        0.0000
  38500.0000  05/28/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38501.0000  05/29/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38502.0000  05/30/2005        7.3179        6.1539        0.0000        0.0000        0.0000        0.0000
  38503.0000  05/31/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38504.0000  06/01/2005       66.4656       65.1483        0.0000        0.0000        0.0000        0.0000
  38505.0000  06/02/2005        6.6675        6.6531        0.0000        0.0000        0.0000        0.0000
  38506.0000  06/03/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38507.0000  06/04/2005       76.7370       76.3456        0.0000        0.0000        0.0000        0.0000
  38508.0000  06/05/2005       89.4827       87.9266        4.7345        0.0000        0.0000        4.7345
  38509.0000  06/06/2005        1.4097        1.4015        0.0000        0.0000        0.0000        0.0000
  38510.0000  06/07/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38511.0000  06/08/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38512.0000  06/09/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38513.0000  06/10/2005       59.4947       59.1234        0.0000        0.0000        0.0000        0.0000
  38514.0000  06/11/2005       20.4788       20.4666        0.0000        0.0000        0.0000        0.0000
  38515.0000  06/12/2005        4.7625        4.7543        0.0000        0.0000        0.0000        0.0000
  38516.0000  06/13/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38517.0000  06/14/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38518.0000  06/15/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38519.0000  06/16/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38520.0000  06/17/2005       52.8094       52.2960        0.0000        0.0000        0.0000        0.0000
  38521.0000  06/18/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38522.0000  06/19/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38523.0000  06/20/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38524.0000  06/21/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38525.0000  06/22/2005        0.9525        0.8364        0.0000        0.0000        0.0000        0.0000
  38526.0000  06/23/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38527.0000  06/24/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38528.0000  06/25/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  38529.0000  06/26/2005        3.2467        3.0462        0.0000        0.0000        0.0000        0.0000
  38530.0000  06/27/2005      103.9841      103.9105        0.0000        0.0000        0.0000        0.0000
  38531.0000  06/28/2005       20.9468       20.7362        0.0000        0.0000        0.0000        0.0000
  38532.0000  06/29/2005        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
